Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,G/NBA,MP/NBA,PPG/NBA,RPG/NBA,APG/NBA,SPG/NBA,BPG/NBA,FG%/NBA,2P%/NBA,3P%/NBA,FT%/NBA,NBA WS,NBA WS/48,NBA PER,G/C,GS/C,MPG/C,FGM/C,FGA/C,FG%/C,2PM/C,2PA/C,2P%/C,3PM/C,3PA/C,3P%/C,FTM/C,FTA/C,FT%/C,ORPG/C,DRPG/C,RPG/C,APG/C,SPG/C,BPG/C,TOPG/C,FPG/C,PPG/C,EFG%/C,YRS/C,WS/C,WSPY/C,PER/C,SOS,BF%,Hand Length (Inches),Hand Width (Inches),Height (No Shoes),Height (Shoes),Standing Reach,Weight (lbs),Wingspan
2011,1,30,CHI,Jimmy Butler,21.287,F-G,us,Marquette University,442,32.7,16.1,4.9,3.3,1.5,0.4,0.451,0.483,0.339,0.833,56,0.186,19.8,106,69,29.6,3.7,7.2,0.508,3.3,6.4,0.525,0.3,0.9,0.383,4.3,5.6,0.773,2.3,3.1,5.5,1.7,1.1,0.5,1,1.7,12,53.1,3,15.9,5.30,19.3,8.21,0.05,9,9,6.6,6.775,8.55,222.2,6.7
2014,1,14,PHO,T.J. Warren,20.299,F,us,North Carolina State University,195,26.1,13,4.1,1,0.9,0.5,0.499,0.527,0.282,0.758,10,0.094,16.2,70,49,31.2,7.5,13.6,0.555,6.9,11.5,0.598,0.6,2,0.315,2.8,4.3,0.654,2.7,3,5.7,1,1.5,0.5,1.7,2.5,18.5,57.9,2,10.6,5.30,28,7.31,0.08,8.75,9,6.7,6.825,8.8,220.2,6.1
2008,1,23,UTA,Kosta Koufos,19.127,C,us,Ohio State University,614,16.5,5.7,5,0.5,0.4,0.8,0.533,0.534,0,0.593,25.4,0.12,15.4,37,35,27.1,6,11.8,0.508,5.4,10.1,0.535,0.6,1.7,0.349,1.8,2.7,0.68,2.6,4,6.7,0.5,0.4,1.8,1.5,2.2,14.4,53.3,1,5.3,5.30,,7.97,,,,,,,,
2011,1,8,DET,Brandon Knight,19.208,G,us,University of Kentucky,382,31.3,15.2,3.3,4.3,0.9,0.2,0.415,0.445,0.357,0.812,11.6,0.047,14.2,38,38,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,50.8,1,5.3,5.30,9.3,8.91,0.04,8.25,9.5,6.15,6.325,8.25,176.8,6.6
2015,1,18,HOU,Sam Dekker,21.055,F,us,University of Wisconsin,118,16.9,5.9,3.3,0.8,0.5,0.2,0.467,0.591,0.279,0.61,3.7,0.089,12.4,113,81,27.9,4.4,9,0.493,3.2,5.3,0.591,1.3,3.6,0.348,2,2.8,0.695,1.6,3.4,5,1.3,0.6,0.5,1,1.2,12.1,56.3,3,15.9,5.30,23.4,10.07,0.08,8.5,9.25,6.78,6.9,8.1,218.6,6.1
2008,1,27,NOH,Darrell Arthur,20.098,F,us,University of Kansas,490,18.1,6.6,3.6,0.8,0.6,0.6,0.442,0.458,0.347,0.766,12,0.065,12.1,78,46,21.9,4.7,8.7,0.541,4.7,8.5,0.552,0,0.2,0.118,1.8,2.7,0.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,54.3,2,10.6,5.30,,7.53,0.07,,,6.75,6.85,8.11,216,6.1
2010,2,41,MIA,Jarvis Varnado,22.12,F,us,Mississippi State University,37,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,,0.518,0.7,0.089,11.5,141,119,25.5,3.9,6.6,0.589,3.9,6.6,0.591,0,0,0.25,2.2,3.6,0.595,2.5,5.3,7.8,0.6,0.5,4,1.4,2.4,10,59,4,21.2,5.30,,5.47,0.1,9.25,9.5,6.83,6.1,9.15,210.2,7.3
2010,1,7,DET,Greg Monroe,20.025,C-F,us,Georgetown University,558,29.3,13.9,8.7,2.3,1.1,0.6,0.513,0.514,0,0.705,46.4,0.136,20.12,65,65,32.6,5.3,9.8,0.543,5.2,9.3,0.558,0.1,0.5,0.273,3.7,5.5,0.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,55,2,10.5,5.25,,9.26,0.11,8.75,9.5,6.98,6.11,9.05,246.6,7.2
2015,1,22,CHI,Bobby Portis,20.14,F,us,University of Arkansas,160,17.5,8,5.3,0.9,0.4,0.3,0.463,0.496,0.338,0.74,5.8,0.099,16,70,70,28.5,5.9,11.2,0.526,5.5,10.3,0.54,0.3,0.9,0.365,2.9,3.9,0.737,3.1,4.7,7.9,1.3,1.1,1.5,1.4,2,15,54,2,10.5,5.25,26.7,6.18,0.09,9.5,9.25,6.95,6.105,9.05,246.2,7.2
2009,1,18,MIN,Ty Lawson,21.24,G,us,University of North Carolina,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126,17.23,105,95,27,4.4,8.5,0.517,3.3,5.9,0.568,1.1,2.6,0.403,3.2,4.1,0.78,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2,13.1,57.9,3,15.7,5.23,,8.59,0.07,,,5.11,6.05,7.105,196.6,6
